scenario,scope,far_clean_mae_mean,far_clean_mae_std,far_dropout_mae_mean,far_dropout_mae_std,far_clean_to_failure_mae_delta,far_clean_to_failure_mae_delta_std,far_clean_to_failure_mae_delta_percent,ms_gru_mae_mean,ms_gru_mae_std,far_vs_ms_gru_mae_reduction,far_vs_ms_gru_mae_reduction_percent,ms_tcn_v2_mae_mean,ms_tcn_v2_mae_std,far_vs_ms_tcn_v2_mae_reduction,far_vs_ms_tcn_v2_mae_reduction_percent
iid_random_10pct,overall,3.1675761815,0.0063180210,3.1804907228,0.0063908220,0.0129145412,0.0012765050,0.4077105174,3.4765638115,0.0390531652,0.2960730887,8.5162564177,3.4590380297,0.0161260645,0.2785473070,8.0527390731
iid_random_10pct,15m,2.8488600915,0.0201380821,2.8658977140,0.0209720116,0.0170376225,0.0014141320,0.5980505159,3.1334268026,0.0382911131,0.2675290885,8.5379077096,3.1222499089,0.0276493074,0.2563521949,8.2104957119
iid_random_10pct,30m,3.2116565390,0.0089368201,3.2228022944,0.0094162227,0.0111457555,0.0013750902,0.3470407036,3.4617656756,0.0299424221,0.2389633812,6.9029334622,3.3914819741,0.0137745255,0.1686796796,4.9736274860
iid_random_10pct,60m,3.6171906828,0.0199436192,3.6240476801,0.0186707163,0.0068569973,0.0016828040,0.1895669288,4.0012669997,0.0532345911,0.3772193196,9.4274968320,4.0379095064,0.0180858710,0.4138618263,10.2494081568
iid_random_30pct,overall,3.1675761815,0.0063180210,3.2136564898,0.0078079038,0.0460803083,0.0037402887,1.4547498046,3.7108514760,0.0546836795,0.4971949861,13.3984070595,3.6450785892,0.0213038330,0.4314220993,11.8357420497
iid_random_30pct,15m,2.8488600915,0.0201380821,2.9103859190,0.0231608436,0.0615258275,0.0040767956,2.1596647598,3.4518472424,0.0557468273,0.5414613234,15.6861322463,3.3867016233,0.0323934922,0.4763157043,14.0642949185
iid_random_30pct,30m,3.2116565390,0.0089368201,3.2516167611,0.0107241235,0.0399602221,0.0036272768,1.2442246434,3.6891351217,0.0503359560,0.4375183606,11.8596458570,3.5838726896,0.0212577432,0.3322559285,9.2708630380
iid_random_30pct,60m,3.6171906828,0.0199436192,3.6433633776,0.0149875674,0.0261726949,0.0060201041,0.7235641454,4.1274599950,0.0614184772,0.4840966174,11.7286810289,4.1084185886,0.0156566812,0.4650552110,11.3195673954
iid_random_50pct,overall,3.1675761815,0.0063180210,3.2694940005,0.0099084477,0.1019178190,0.0067329673,3.2175333176,3.9777124302,0.0817469392,0.7082184296,17.8046664274,3.9011410803,0.0272793155,0.6316470798,16.1913416301
iid_random_50pct,15m,2.8488600915,0.0201380821,2.9824712443,0.0251891972,0.1336111528,0.0065409519,4.6899864687,3.7936275102,0.0865005877,0.8111562659,21.3820746421,3.7177650969,0.0405714799,0.7352938526,19.7778459210
iid_random_50pct,30m,3.2116565390,0.0089368201,3.3012530415,0.0124475458,0.0895965025,0.0059448805,2.7897286482,3.9491767352,0.0805210261,0.6479236937,16.4065509626,3.8456458074,0.0301441100,0.5443927658,14.1560817900
iid_random_50pct,60m,3.6171906828,0.0199436192,3.6802666154,0.0110707559,0.0630759327,0.0116205798,1.7437823497,4.2982691384,0.0841386053,0.6180025230,14.3779391906,4.2508057972,0.0152616552,0.5705391818,13.4219065510
temporal_tail_25pct_sensors_3steps,overall,3.1675761815,0.0063180210,3.2143258460,0.0071586098,0.0467496645,0.0035439753,1.4758812998,3.6194919934,0.0563786198,0.4051661473,11.1940059007,3.5559287833,0.0232678321,0.3416029373,9.6065742065
temporal_tail_25pct_sensors_3steps,15m,2.8488600915,0.0201380821,2.9151320861,0.0228304962,0.0662719946,0.0043639102,2.3262635752,3.3161194696,0.0476870901,0.4009873834,12.0920668597,3.2519272749,0.0344707647,0.3367951888,10.3567872312
temporal_tail_25pct_sensors_3steps,30m,3.2116565390,0.0089368201,3.2495936460,0.0087518965,0.0379371070,0.0025943723,1.1812317576,3.6007160428,0.0500335135,0.3511223969,9.7514603398,3.4887382537,0.0236230162,0.2391446078,6.8547592389
temporal_tail_25pct_sensors_3steps,60m,3.6171906828,0.0199436192,3.6393308392,0.0170089405,0.0221401564,0.0045407468,0.6120815392,4.0943695225,0.0777371624,0.4550386834,11.1137668657,4.0872113861,0.0189767224,0.4478805469,10.9580959873
temporal_tail_50pct_sensors_6steps,overall,3.1675761815,0.0063180210,3.3205112905,0.0146551428,0.1529351089,0.0112832889,4.8281430401,4.0217846876,0.0921739720,0.7012733971,17.4368707332,3.9113088836,0.0408555248,0.5907975932,15.1048564750
temporal_tail_50pct_sensors_6steps,15m,2.8488600915,0.0201380821,3.0581553426,0.0337841713,0.2092952511,0.0156762105,7.3466314361,3.8351915576,0.0880816336,0.7770362150,20.2606885039,3.7128993961,0.0548965363,0.6547440535,17.6343063365
temporal_tail_50pct_sensors_6steps,30m,3.2116565390,0.0089368201,3.3366269941,0.0140934155,0.1249704552,0.0087191620,3.8911525450,4.0016514179,0.0908318642,0.6650244237,16.6187494684,3.8558071627,0.0444871958,0.5191801686,13.4648893647
temporal_tail_50pct_sensors_6steps,60m,3.6171906828,0.0199436192,3.7027786661,0.0144989663,0.0855879833,0.0111568420,2.3661451894,4.3363189513,0.1128270358,0.6335402852,14.6100942375,4.2801728895,0.0205080751,0.5773942234,13.4899743142
temporal_tail_75pct_sensors_12steps,overall,3.1675761815,0.0063180210,3.7649461045,0.0227381239,0.5973699230,0.0186415339,18.8588967958,4.6217291245,0.0849818465,0.8567830200,18.5381487519,4.6675016640,0.0293120532,0.9025555594,19.3370163401
temporal_tail_75pct_sensors_12steps,15m,2.8488600915,0.0201380821,3.5649704299,0.0453165881,0.7161103383,0.0268672863,25.1367324233,4.5608256637,0.0868889944,0.9958552339,21.8349769823,4.6247168941,0.0295950997,1.0597464643,22.9148397305
temporal_tail_75pct_sensors_12steps,30m,3.2116565390,0.0089368201,3.7663044248,0.0188817263,0.5546478858,0.0131620050,17.2698381382,4.5972605931,0.0833085106,0.8309561683,18.0750286275,4.6301333091,0.0308445161,0.8638288843,18.6566741530
temporal_tail_75pct_sensors_12steps,60m,3.6171906828,0.0199436192,4.0587003598,0.0135569552,0.4415096771,0.0174586930,12.2058723406,4.7639619969,0.1015592638,0.7052616370,14.8040987209,4.7955770838,0.0275910749,0.7368767240,15.3657570528
spatial_knn4_cluster_5_full_history,overall,3.1675761815,0.0063180210,3.1812666691,0.0069526233,0.0136904876,0.0012650210,0.4322070511,3.4052528934,0.0393070794,0.2239862243,6.5776678349,3.4282338764,0.0115491213,0.2469672072,7.2039194561
spatial_knn4_cluster_5_full_history,15m,2.8488600915,0.0201380821,2.8657686224,0.0214303489,0.0169085309,0.0013246531,0.5935191733,3.0237962523,0.0349651652,0.1580276299,5.2261335322,3.0591418900,0.0250288522,0.1933732676,6.3211604619
spatial_knn4_cluster_5_full_history,30m,3.2116565390,0.0089368201,3.2237234935,0.0098703621,0.0120669545,0.0011041219,0.3757236914,3.3932045566,0.0283024600,0.1694810631,4.9947198962,3.3582994643,0.0085862492,0.1345759708,4.0072653510
spatial_knn4_cluster_5_full_history,60m,3.6171906828,0.0199436192,3.6262870131,0.0190683333,0.0090963303,0.0012884320,0.2514750015,3.9816086587,0.0614024900,0.3553216456,8.9240725551,4.0551995213,0.0200656903,0.4289125082,10.5768533946
spatial_knn4_cluster_10_full_history,overall,3.1675761815,0.0063180210,3.2022865061,0.0068406120,0.0347103245,0.0008772620,1.0958007810,3.4490051005,0.0403875798,0.2467185945,7.1533264600,3.4722348146,0.0121941464,0.2699483086,7.7744830915
spatial_knn4_cluster_10_full_history,15m,2.8488600915,0.0201380821,2.8916251870,0.0215808940,0.0427650955,0.0015329828,1.5011300702,3.0799777831,0.0354449815,0.1883525961,6.1153881403,3.1159829202,0.0251432878,0.2243577332,7.2002234591
spatial_knn4_cluster_10_full_history,30m,3.2116565390,0.0089368201,3.2431159272,0.0092639600,0.0314593882,0.0004021248,0.9795377513,3.4363425794,0.0296738092,0.1932266522,5.6230322722,3.4033447188,0.0094636483,0.1602287915,4.7079800839
spatial_knn4_cluster_10_full_history,60m,3.6171906828,0.0199436192,3.6409386842,0.0194056138,0.0237480014,0.0009656214,0.6565316430,4.0100545734,0.0619975100,0.3691158892,9.2047597473,4.0811457267,0.0194567974,0.4402070426,10.7863593223
spatial_knn4_cluster_20_full_history,overall,3.1675761815,0.0063180210,3.2513963973,0.0079216188,0.0838202158,0.0024554684,2.6461941545,3.5371891011,0.0431330481,0.2857927038,8.0796557854,3.5625858521,0.0126896814,0.3111894548,8.7349320898
spatial_knn4_cluster_20_full_history,15m,2.8488600915,0.0201380821,2.9535016947,0.0234266091,0.1046416032,0.0035283540,3.6731043236,3.1928981461,0.0370864953,0.2393964514,7.4977791466,3.2309644871,0.0247773594,0.2774627924,8.5876150440
spatial_knn4_cluster_20_full_history,30m,3.2116565390,0.0089368201,3.2881136948,0.0097156559,0.0764571558,0.0016473633,2.3806143298,3.5227499933,0.0330336993,0.2346362986,6.6606003551,3.4955327961,0.0101966659,0.2074191013,5.9338336500
spatial_knn4_cluster_20_full_history,60m,3.6171906828,0.0199436192,3.6740532954,0.0188575405,0.0568626126,0.0025913572,1.5720103697,4.0663595590,0.0645943554,0.3923062636,9.6476039043,4.1354063243,0.0170987142,0.4613530290,11.1561716739
